sample_name,cell_line,drug,secondary
Specimen_001,pRH106,DMSO,mycFITC
Specimen_002,pRH106,DMSO,mycFITC
Specimen_003,pRH107,DMSO,mycFITC
Specimen_004,pRH107,DMSO,mycFITC
Specimen_005,pRH108,DMSO,mycFITC
Specimen_006,pRH108,DMSO,mycFITC
Specimen_007,pRH108_DD,DMSO,mycFITC
Specimen_008,pRH108_DD,DMSO,mycFITC
Specimen_009,pRH112,DMSO,mycFITC
Specimen_010,pRH112,DMSO,mycFITC
Specimen_011,pRH112_DD,DMSO,mycFITC
Specimen_012,pRH112_DD,DMSO,mycFITC
Specimen_013,pRH106,DMSO,unlabel
Specimen_014,pRH106,DMSO,unlabel
Specimen_015,pRH107,DMSO,unlabel
Specimen_016,pRH107,DMSO,unlabel
Specimen_017,pRH108,DMSO,unlabel
Specimen_018,pRH108,DMSO,unlabel
Specimen_019,pRH108_DD,DMSO,unlabel
Specimen_020,pRH108_DD,DMSO,unlabel
Specimen_021,pRH112,DMSO,unlabel
Specimen_022,pRH112,DMSO,unlabel
Specimen_023,pRH112_DD,DMSO,unlabel
Specimen_024,pRH112_DD,DMSO,unlabel
Specimen_025,pRH106,4u8c,mycFITC
Specimen_026,pRH106,4u8c,mycFITC
Specimen_027,pRH107,4u8c,mycFITC
Specimen_028,pRH107,4u8c,mycFITC
Specimen_029,pRH108,4u8c,mycFITC
Specimen_030,pRH108,4u8c,mycFITC
Specimen_031,pRH108_DD,4u8c,mycFITC
Specimen_032,pRH108_DD,4u8c,mycFITC
Specimen_033,pRH112,4u8c,mycFITC
Specimen_034,pRH112,4u8c,mycFITC
Specimen_035,pRH112_DD,4u8c,mycFITC
Specimen_036,pRH112_DD,4u8c,mycFITC
Specimen_037,pRH106,C7,mycFITC
Specimen_038,pRH106,C7,mycFITC
Specimen_039,pRH107,C7,mycFITC
Specimen_040,pRH107,C7,mycFITC
Specimen_041,pRH108,C7,mycFITC
Specimen_042,pRH108,C7,mycFITC
Specimen_043,pRH108_DD,C7,mycFITC
Specimen_044,pRH108_DD,C7,mycFITC
Specimen_045,pRH112,C7,mycFITC
Specimen_046,pRH112,C7,mycFITC
Specimen_047,pRH112_DD,C7,mycFITC
Specimen_048,pRH112_DD,C7,mycFITC
Specimen_049,pRH106,Both,mycFITC
Specimen_050,pRH106,Both,mycFITC
Specimen_051,pRH107,Both,mycFITC
Specimen_052,pRH107,Both,mycFITC
Specimen_053,pRH108,Both,mycFITC
Specimen_054,pRH108,Both,mycFITC
Specimen_055,pRH108_DD,Both,mycFITC
Specimen_056,pRH108_DD,Both,mycFITC
Specimen_057,pRH112,Both,mycFITC
Specimen_058,pRH112,Both,mycFITC
Specimen_059,pRH112_DD,Both,mycFITC
Specimen_060,pRH112_DD,Both,mycFITC